PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41638743","Efficacy and safety of pharmacotherapy in COPD with arteriosclerosis: protocol for a systematic review and network meta-analysis","Wei X, Wang S, Yu H, Shi L.","BMJ Open. 2026 Feb 4;16(2):e104689. doi: 10.1136/bmjopen-2025-104689.","Wei X","BMJ Open","2026","2026/02/04","","","10.1136/bmjopen-2025-104689"
"41637485","Effects of Digital Health Interventions to Promote Safer Sex Behaviors Among Youth: Systematic Review and Bayesian Network Meta-Analysis","Zhu Y, Peng W, Hu D, Choi EPH, Välimäki MA, Zhang C, Li X.","J Med Internet Res. 2026 Feb 4;28:e87071. doi: 10.2196/87071.","Zhu Y","J Med Internet Res","2026","2026/02/04","","","10.2196/87071"
"41636579","Bayesian Network Meta-Analysis With One or Two Continuous Outcomes Measured at Multiple Time Points Using Gaussian Random Walks With Drift","Cheng PS, da Costa BR, Tomlinson G.","Stat Med. 2026 Feb;45(3-5):e70373. doi: 10.1002/sim.70373.","Cheng PS","Stat Med","2026","2026/02/04","","","10.1002/sim.70373"
"41635948","RaCE: A rank-clustering estimation method for network meta-analysis","Pearce M, Zhou S.","Res Synth Methods. 2026 Mar;17(2):314-331. doi: 10.1017/rsm.2025.10049. Epub 2025 Nov 13.","Pearce M","Res Synth Methods","2026","2026/02/04","","","10.1017/rsm.2025.10049"
"41633330","Efficacy and safety of prolyl hydroxylase inhibitors for anemia in chronic kidney disease: a network meta-analysis","Niu Y, Wang T, Zhan Y, Xu H, Li C, Hu Z, He J, Li Y, Fang Y.","Ren Fail. 2026 Dec;48(1):2616572. doi: 10.1080/0886022X.2026.2616572. Epub 2026 Feb 3.","Niu Y","Ren Fail","2026","2026/02/03","PMC12872084","","10.1080/0886022X.2026.2616572"
"41631490","Comparative effectiveness of percutaneous coronary intervention strategies for coronary small-vessel disease: a network meta-analysis of randomized trials","Deng C, Fan C, Du Z, Xu Y, Wu T, Pan Y, Lv M, Jiang Z, Bai B, Wang Z, Adilijiang A, Zheng Y, Xie X.","Ann Med. 2026 Dec;58(1):2623329. doi: 10.1080/07853890.2026.2623329. Epub 2026 Feb 3.","Deng C","Ann Med","2026","2026/02/03","PMC12872083","","10.1080/07853890.2026.2623329"
"41630228","Acupuncture in patients with the poor ovarian response on IVF-ET: A systematic review and network meta-analysis","Liu J, Mai T, Zhu F, Ma J, Liu D, Liu Y, Ouyang X, Wu J.","Medicine (Baltimore). 2026 Jan 30;105(5):e46728. doi: 10.1097/MD.0000000000046728.","Liu J","Medicine (Baltimore)","2026","2026/02/03","PMC12863927","","10.1097/MD.0000000000046728"
"41630201","Effects of six traditional exercise therapies on key clinical outcomes in patients with chronic heart failure: A systematic review and network meta-analysis","Yin J, Li J, Chen H, Zhu Y, Gong X, Wang P, Wen H.","Medicine (Baltimore). 2026 Jan 30;105(5):e44522. doi: 10.1097/MD.0000000000044522.","Yin J","Medicine (Baltimore)","2026","2026/02/03","PMC12863780","","10.1097/MD.0000000000044522"
"41628407","Evaluating Prehospital Stroke Scales for Large Vessel Occlusion: A Systematic Review and Network Meta-Analysis","Nawabi NLA, Rivera ER, de Wilde D, Kilgallon JL, Nawabi DI, Bhave VM, Emedom-Nnamdi P, Kappel A, Rangwala SD, Alcedo Guardia RE, Vicenty-Padilla J, Izzy S, Patel NJ, Du R, Dmytriw AA, Gropen T, Liebeskind DS, Gaude E, See AP, Aziz-Sultan MA, Bernstock JD.","Neurology. 2026 Feb 24;106(4):e214484. doi: 10.1212/WNL.0000000000214484. Epub 2026 Feb 2.","Nawabi NLA","Neurology","2026","2026/02/02","","","10.1212/WNL.0000000000214484"
"41626983","Trials and triangles: Network meta-analysis of multi-arm trials with correlated arms","Rücker G, Schwarzer G.","Res Synth Methods. 2025 Nov;16(6):961-974. doi: 10.1017/rsm.2025.10026. Epub 2025 Aug 1.","Rücker G","Res Synth Methods","2025","2026/02/02","PMC12657662","","10.1017/rsm.2025.10026"
"41626982","NMAsurv: An R Shiny application for network meta-analysis based on survival data","Shao T, Zhao M, Shi F, Rui M, Tang W.","Res Synth Methods. 2025 Nov;16(6):1042-1056. doi: 10.1017/rsm.2025.10020. Epub 2025 Jul 10.","Shao T","Res Synth Methods","2025","2026/02/02","PMC12657653","","10.1017/rsm.2025.10020"
